image,panel_id,x,y,z
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,7,0.0506,-0.1937,0.5686
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,8,0.03,0.0726,0.3686
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,9,0.049,0.2225,0.6275
DJI_20220410132221_0015_T_JPG.rf.3ec35a909ab8e77d805a6c536a4d32e3.jpg,10,-0.2475,0.2351,0.6627
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,1,-0.1201,-0.0312,0.3216
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,2,0.0328,-0.0346,0.3882
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,3,-0.186,0.0436,0.498
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,4,0.0427,0.0414,0.4275
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,5,-0.1831,0.1317,0.4902
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,6,0.0288,0.1025,0.3686
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,7,-0.104,-0.0774,0.2784
DJI_20220410132224_0016_T_JPG.rf.793efc65ac4a562cb02c9047fab9163f.jpg,8,0.0318,-0.1029,0.3765
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,1,-0.0776,-0.0383,0.2078
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,2,-0.1603,-0.0013,0.4275
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,3,0.0202,0.0012,0.2588
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,4,-0.1017,-0.0961,0.2745
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,5,-0.1706,0.081,0.4549
DJI_20220410132227_0017_T_JPG.rf.99b3424fa0fbc0c6e8f98900becb196a.jpg,6,0.0232,0.0586,0.3098
